id,measured,predicted,SMILES
c(c(ccc1)ccc2)(c1c(c3ccc4)c4)c23,-1.6289758134128884,-6.176892,c(c(ccc1)ccc2)(c1c(c3ccc4)c4)c23
Cc1cccc(c1)Oc2cccc(c2)C,-1.0642223744041652,-3.5943449999999997,Cc1cccc(c1)Oc2cccc(c2)C
OCc(c(O)ccc1)c1,1.1751477837521622,-0.439317855,OCc(c(O)ccc1)c1
c1cc(N)ccc1S(=O)(=O)Nc2cnccn2,-0.4994689353954425,-2.2907865000000003,c1cc(N)ccc1S(=O)(=O)Nc2cnccn2
O=C(O)C(CC)CC,0.9197810113308266,-0.9112061,O=C(O)C(CC)CC
c1cc(C)ccc1N,0.7233450325451839,-1.0831037000000001,c1cc(C)ccc1N
O=C(OCC(C)C)c(c(ccc1)C(=O)OCC(C)C)c1,-0.9709152844809852,-4.076948000000001,O=C(OCC(C)C)c(c(ccc1)C(=O)OCC(C)C)c1
CCCCC(O)(C)C,0.7871867256505177,-1.1805055,CCCCC(O)(C)C
OCCCc(cccc1)c1,0.6398597415612857,-1.5958709999999998,OCCCc(cccc1)c1
O=C(C(C(C(C(c(c(cc(O)c1)C2)c1)C3)C2)C4)(C3)C)C4,-0.6271523216061102,-4.357868,O=C(C(C(C(C(c(c(cc(O)c1)C2)c1)C3)C2)C4)(C3)C)C4
CC(O)(CC)C,1.3568510641288818,-0.19991435,CC(O)(CC)C
N#Cc(c(C#N)ccc1)c1,0.1487697945971788,-1.931186,N#Cc(c(C#N)ccc1)c1
c1ccc(Cl)c(Cl)c1c2c(Cl)ccc(Cl)c2,-1.8597880884860185,-6.935127499999999,c1ccc(Cl)c(Cl)c1c2c(Cl)ccc(Cl)c2
CC(C)(C)C(=O)CC(=O)C,0.517087254820259,-0.521075975,CC(C)(C)C(=O)CC(=O)C
BrCCl,0.880493815573698,-0.84235225,BrCCl
OCC(C)C,1.3372074662503175,0.18846880800000002,OCC(C)C
c1cc(C)ccc1C,-0.042755284718822985,-2.7537585,c1cc(C)ccc1C
C(O)CCCCCCCCCCCCC,-1.6535303107610937,-5.755215,C(O)CCCCCCCCCCCCC
Oc(cccc1)c1,1.3175638683717532,-0.4158175,Oc(cccc1)c1
n(c(nc(n1)NCC)NCC)c1Cl,-0.9168953903149333,-3.0226,n(c(nc(n1)NCC)NCC)c1Cl
CN2C(=O)ON(c1ccc(Cl)c(Cl)c1)C2=O,-0.06730978206702824,-3.1866325,CN2C(=O)ON(c1ccc(Cl)c(Cl)c1)C2=O
Cc1occc1C(=O)Nc2ccccc2,-0.30303295660979956,-2.4646365,Cc1occc1C(=O)Nc2ccccc2
OCC(C)(C)CCC,0.5711071489863107,-1.529857,OCC(C)(C)CCC
c1cc(Cl)ccc1Br,-0.4650926391079549,-3.126299,c1cc(Cl)ccc1Br
c1c(N(=O)(=O))cc2C(c3ccccc3)=NCC(=O)N(C)c2c1,-0.5485779300918531,-3.650837,c1c(N(=O)(=O))cc2C(c3ccccc3)=NCC(=O)N(C)c2c1
Nc(ccc(c1)Cc(ccc(N)c2)c2)c1,0.18805699035430737,-3.241679,Nc(ccc(c1)Cc(ccc(N)c2)c2)c1
C1CN(CCC2=CC=CS2)CCC1(COC)N(C(=O)CC)c3ccccc3,-0.5043798348650834,-4.333901999999999,C1CN(CCC2=CC=CS2)CCC1(COC)N(C(=O)CC)c3ccccc3
c2ccc1cc3c(cc1c2)c4cccc5cccc3c45,-2.8517897813535145,-7.528927,c2ccc1cc3c(cc1c2)c4cccc5cccc3c45
Oc1cc(O)c2C(=O)CC(c3cc(O)c(O)cc3)Oc2c1,-0.46018173963831394,-2.606632,Oc1cc(O)c2C(=O)CC(c3cc(O)c(O)cc3)Oc2c1
O=C(OC)CCCCCCCCCCC,-0.9856479828899085,-4.3678055,O=C(OC)CCCCCCCCCCC
c1ccccc1N2C(=O)C(N(C)C)=C(C)N2C,1.008177201784366,-2.07915935,c1ccccc1N2C(=O)C(N(C)C)=C(C)N2C
ClC(Cl)(Cl)C(Cl)Cl,0.04073000626507516,-2.9281285,ClC(Cl)(Cl)C(Cl)Cl
O=C(Oc(cccc1C)c1)NC,0.43360196383636074,-1.8358429,O=C(Oc(cccc1C)c1)NC
Oc(c(ccc1)CC)c1,0.6496815405005677,-1.4896105,Oc(c(ccc1)CC)c1
CCSC(=O)N(CC)C1CCCCC1,-0.3521419513062103,-2.6941405,CCSC(=O)N(CC)C1CCCCC1
O=C(Nc(cccc1)c1)c(c(O)ccc2)c2,-0.4454490412293906,-2.9271154999999998,O=C(Nc(cccc1)c1)c(c(O)ccc2)c2
O=C(CC(C)C)C,0.6202161436827214,-0.8340156999999999,O=C(CC(C)C)C
CCCCCC,-0.5682215279704174,-3.2919335,CCCCCC
c1ccc2Sc3ccccc3N(CC(C)N(C)C)c2c1,-0.7744793056953422,-4.210912,c1ccc2Sc3ccccc3N(CC(C)N(C)C)c2c1
c1ccccc1CCl,0.1438588951275376,-2.443326,c1ccccc1CCl
c1ccccc1Nc2ccccc2,-0.40616184547226203,-3.13329,c1ccccc1Nc2ccccc2
CN(C)NC(=O)CCC(O)=O,1.2193458789789318,-0.402444962,CN(C)NC(=O)CCC(O)=O
c1cc(C)ccc1O,0.9738009054968784,-0.87566495,c1cc(C)ccc1O
Nc3ccc2cc1ccccc1cc2c3,-1.2213711574326795,-4.3149775,Nc3ccc2cc1ccccc1cc2c3
Oc(ccc(c1)Br)c1,0.7822758261808767,-1.8062099999999999,Oc(ccc(c1)Br)c1
O=C(OCC)c(c(ccc1)C(=O)OCC)c1,0.1635024930061019,-2.9680305000000002,O=C(OCC)c(c(ccc1)C(=O)OCC)c1
c(c(ccc1Cl)ccc2)(c2)c1,-0.7155485120596493,-3.8150255,c(c(ccc1Cl)ccc2)(c2)c1
O=C(OC)c(ccc(N)c1)c1,0.5367308526988231,-1.4845145,O=C(OC)c(ccc(N)c1)c1
ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl,-0.740103009407855,-3.6668629999999998,ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl
CCCCC=C,-0.26865666032231217,-2.9507545,CCCCC=C
n(nccc1)c1,1.857762810032271,-0.083213683,n(nccc1)c1
O(C(OC(C1O)C(O)CO)C1O2)C2C(Cl)(Cl)Cl,0.41395836595779645,-1.6880438000000002,O(C(OC(C1O)C(O)CO)C1O2)C2C(Cl)(Cl)Cl
c1ccccc1c2c(Cl)cc(Cl)cc2,-1.2606583531898081,-5.630044,c1ccccc1c2c(Cl)cc(Cl)cc2
c1ccccc1c2c(Cl)cc(Cl)cc2Cl,-1.6977284059878632,-6.137266,c1ccccc1c2c(Cl)cc(Cl)cc2Cl
O=C(O)CCCCCCCCCCC,-0.9512716866024209,-3.9462194999999998,O=C(O)CCCCCCCCCCC
OC(=O)c1c(C=O)ccc(OC)c1OC,0.374671170200668,-1.7174049999999998,OC(=O)c1c(C=O)ccc(OC)c1OC
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-0.4847362369865192,-4.0345555,ClC(Cl)(Cl)C(Cl)(Cl)Cl
ClCCS(=O)(=O)CCl,0.5809289479255928,-0.49005704,ClCCS(=O)(=O)CCl
s1cccc1,0.6054834452737982,-1.19894545,s1cccc1
O=C(OC)C,1.5729306407930888,0.53945555,O=C(OC)C
O=C(O)c(ccc(O)c1OC)c1,0.3108294770953341,-1.1938788999999999,O=C(O)c(ccc(O)c1OC)c1
