id,measured,predicted,SMILES
Thiophene,0.8658852608861555,-2.2319999999999998,c1ccsc1
CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,0.6772334308678882,-2.3736405,CC(C)C1(CC=C)C(=O)NC(=O)NC1=O
OC(CCC(C1)C)C1,1.0892887438025252,-1.1817026000000002,OC(CCC(C1)C)C1
ClCCS(=O)CCCl,0.9502821322101175,-1.79379255,ClCCS(=O)CCCl
c(c(c(c(c1)ccc2)c2)cc(c3c(c(c4)ccc5)c5)c4)(c1)c3,-2.7731092497293717,-7.826225,c(c(c(c(c1)ccc2)c2)cc(c3c(c(c4)ccc5)c5)c4)(c1)c3
O=C(OCC(OC(=O)C)COC(=O)C)C,1.2282953553949325,-1.32362975,O=C(OCC(OC(=O)C)COC(=O)C)C
COCCC,1.3325503140892383,0.069552503,COCCC
Coronene,-3.10672511755115,-6.885,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67
1-Bromonapthalene,-0.6334003355748117,-4.434,Brc1cccc2ccccc12
Methyl propionate,1.4566633601538879,-0.836,CCC(=O)OC
CNC(=O)Oc1ccccc1OC(C)C,0.5084396882199648,-2.362334,CNC(=O)Oc1ccccc1OC(C)C
O=C1C=C2CCC3C4CC(OC(=O)C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C3(F)C2(C)C=C1,-0.5241808550379201,-3.6685305,O=C1C=C2CCC3C4CC(OC(=O)C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C3(F)C2(C)C=C1
ClC(C=C1)=CC2=C1NC(C=CC=C3)=C3C(N4CCN(C)CC4)=N2,-0.08233841104776764,-4.141091,ClC(C=C1)=CC2=C1NC(C=CC=C3)=C3C(N4CCN(C)CC4)=N2
2-butenal,1.6850313649128432,-0.604,CC=CC=O
O=C(C1=CC=CC=C1)C2=CC=CC(C(C(O)=O)C)=C2,-0.06744484552000955,-3.3659035000000004,O=C(C1=CC=CC=C1)C2=CC=CC(C(C(O)=O)C)=C2
